"","gene_short_name","num_cells_expressed","gene_id","status","term","estimate","std_err","test_val","p_value","normalized_effect","model_component","q_value"
"888","MINCR",1628,"MINCR","OK","treatmentcontrol",-0.858183492,0.054929735,-15.6232957,6.33e-54,-1.190885406,"count",2.02e-49
"890","CCR10",274,"CCR10","OK","treatmentcontrol",-1.110157783,0.167649821,-6.621884695,3.87e-11,-1.190575304,"count",1.02e-06
"891","HPS6",1160,"HPS6","OK","treatmentcontrol",-0.878103087,0.069407033,-12.65150021,3.3e-36,-1.190501192,"count",1.01e-31
"892","DHRS13",918,"DHRS13","OK","treatmentcontrol",-0.893897984,0.078433825,-11.39684291,9e-30,-1.190252225,"count",2.71e-25
"893","PRPF19",1358,"PRPF19","OK","treatmentcontrol",-0.864532933,0.056711518,-15.24439775,1.78e-51,-1.189354886,"count",5.67e-47
"894","PYCR1",1413,"PYCR1","OK","treatmentcontrol",-0.857944228,0.05801235,-14.78899273,1.32e-48,-1.188974228,"count",4.18e-44
"898","NAT9",2276,"NAT9","OK","treatmentcontrol",-0.841716495,0.04437277,-18.96921232,6.86e-78,-1.187107269,"count",2.26e-73
"899","BRICD5",415,"BRICD5","OK","treatmentcontrol",-0.998050061,0.12671447,-7.876370099,4e-15,-1.186254879,"count",1.11e-10
"900","MMP9",1235,"MMP9","OK","treatmentcontrol",-0.869185944,0.071574652,-12.14376769,1.58e-33,-1.185845079,"count",4.82e-29
"901","CPLX3",1833,"CPLX3","OK","treatmentcontrol",-0.842983647,0.058926915,-14.30557911,1.21e-45,-1.185735026,"count",3.79e-41
"903","SIRT7",1089,"SIRT7","OK","treatmentcontrol",-0.878242733,0.0694748,-12.64116966,3.76e-36,-1.18507211,"count",1.15e-31
"904","TIMM17B",4058,"TIMM17B","OK","treatmentcontrol",-0.827947016,0.027103122,-30.54803144,4.02e-190,-1.184836148,"count",1.41e-185
"907","CDC37",3154,"CDC37","OK","treatmentcontrol",-0.830839477,0.033523583,-24.78373167,5.96e-129,-1.182606765,"count",2.04e-124
"908","C8orf33",2606,"C8orf33","OK","treatmentcontrol",-0.836234665,0.040501749,-20.64687786,1.95e-91,-1.182606089,"count",6.49e-87
"909","CDK20",1213,"CDK20","OK","treatmentcontrol",-0.869601908,0.067314685,-12.91845762,1.17e-37,-1.182423607,"count",3.61e-33
