"","gene_id","treatmentcontrol","normalized_effect","num_cells_expressed","q_value"
"489","ZWINT",-1.005933229,-0.815561578,279,1.16e-07
"490","KCNK1",-1.571979077,-0.805106395,283,5.65e-14
"491","RNASE4",-1.079311302,-0.797343811,260,3.01e-09
"492","MMP23B",-1.03385671,-0.79058799,241,1.68e-07
"493","LGALS1",-1.282908276,-0.772596638,203,9.83e-06
"494","AC108199.1",-1.526060102,-0.769448335,202,1.43e-05
"497","STXBP6",-1.919549192,-0.743759069,265,3.8e-29
"498","INF2",-1.032252251,-0.70327522,243,1.72e-11
"499","FAM111A",-1.065744922,-0.698948201,292,2.63e-06
"500","DIPK1C",-1.810284918,-0.692510445,315,3.97e-26
"501","HSD17B11",-1.182772315,-0.55574741,239,4.83e-12
