"","gene_id","treatmentcontrol","normalized_effect","num_cells_expressed","q_value"
"937","BAIAP2L1",1.935048908,2.425925788,827,1.55e-180
"938","C9orf147",2.1933026,2.425553423,624,1.84e-148
"946","SHISA6",8.509801195,2.405035331,234,2.09e-91
"947","AC003666.1",8.368474821,2.404845721,251,1.03e-105
"949","HMGA1P4",3.818249858,2.404708146,344,8.75e-120
"955","EEPD1",1.767953202,2.39509209,1531,6.73435669448729e-311
"958","DNAH6",2.105472853,2.391853616,566,6.46e-132
"960","PKD1L3",4.782766914,2.389363934,211,5.97e-84
"973","ENPP2",1.876626854,2.375628538,759,4.71e-159
"978","B3GNT5",2.088715819,2.370327805,783,1.66e-144
"979","AC069280.2",2.340090926,2.36968255,460,3.43e-114
"980","PIK3IP1-AS1",2.225737168,2.369465544,420,2.68e-96
"981","PRSS51",3.156872491,2.368317348,425,4.09e-137
"982","PI4K2B",2.108941869,2.365827663,633,1.06e-148
"987","PAMR1",2.857766202,2.364274244,241,3.34e-53
"988","AL110114.1",2.563425752,2.363609138,361,1.66e-104
"989","B4GALNT3",3.107208079,2.361145811,219,5.41e-71
"992","GNG13",1.771213337,2.356829464,867,9.82e-97
"993","AC007255.1",2.305859334,2.35660424,565,9e-135
"994","ABCB1",3.354861974,2.355815011,297,1.18e-74
"996","GRK5",2.327553014,2.353687969,374,1.02e-71
"1000","PTPRE",1.69905294,2.35194735,1931,0
"1001","LINC02062",2.062507971,2.351806529,750,7.04e-173
"1010","LINC00458",2.407577458,2.343638262,256,7.36e-73
"1011","AC092966.1",2.081371083,2.343633083,1252,0
"1015","KLHL4",1.659790782,2.333288278,3197,0
"1016","C8orf37-AS1",5.13193659,2.330506946,240,4.42e-89
"1017","NKAIN2",2.650154166,2.330488941,256,6.96e-63
"1021","ANKRD24",2.454141784,2.327752587,492,4.3e-134
"1023","ANXA8",2.19497763,2.323075217,223,2.42e-38
"1024","AL354696.2",1.95812045,2.320806304,692,9.37e-174
"1027","MECOM",2.437473644,2.314871849,336,2.07e-77
"1029","KCNN3",1.858426041,2.313682222,1040,1.19e-187
"1037","PKD1L1",3.756915859,2.299783694,260,2.65e-91
"1039","NEDD4",1.659613208,2.294987894,2408,0
"1044","AC092821.3",2.113050198,2.291732246,540,1.34e-99
"1045","TMEM72-AS1",1.736412826,2.287366307,1039,3.23e-207
"1046","AL360091.3",3.990511558,2.286139762,278,7.62e-99
"1047","RAD52",1.981213519,2.285780058,737,8.58e-191
"1048","SCG5",1.783152734,2.285637388,693,1.55e-87
"1053","IQCH",1.715029504,2.276674555,1528,0
"1058","SLC9C2",2.590743382,2.26633318,581,7.06e-139
"1059","MAN2A1",1.903303765,2.265963562,554,9.58e-119
"1060","AL356113.1",3.78705712,2.264876704,211,1.22e-77
"1066","PXDNL",5.940279075,2.25299816,307,2.8e-119
"1067","LINC01182",3.581613771,2.25272774,239,1.09e-81
"1070","MAPT-AS1",1.961699536,2.247324375,474,9.36e-98
"1072","MYO1E",1.827035786,2.241283567,820,8.37e-168
"1082","AC013652.1",8.501407684,2.229524965,206,1.33e-83
"1083","STPG2-AS1",8.410560785,2.229422087,250,2.88e-101
"1084","RASGRF2",1.554017219,2.228151588,6010,0
"1087","Z94721.1",5.056417885,2.226694689,252,2.81e-92
"1090","AC087854.1",1.927768538,2.224975042,822,1.09e-161
"1092","SGSM1",1.832974469,2.220652418,730,5.27e-133
"1096","LINC00457",1.560632348,2.208700984,3693,0
"1097","LINC01237",2.837855518,2.207636488,208,2.41e-62
"1099","EFCAB6",1.746012235,2.206801376,1239,1.36e-282
"1104","WDR11-AS1",1.900710197,2.202590768,806,1.46e-185
"1110","AP002813.1",2.027324861,2.197664142,470,2.68e-85
"1111","RTL9",3.019764915,2.196215855,213,4.46e-66
"1115","SUSD2",2.141553419,2.191524491,314,3.65e-73
"1118","TSHZ3",1.771603589,2.190148294,711,3.2e-111
"1121","TEX2",1.679284924,2.177662708,1095,1.87e-217
"1125","AL365295.1",3.563669664,2.174013367,209,5.03e-63
"1128","COLQ",2.611345515,2.172066868,285,9.6e-85
"1129","COL6A6",2.928106214,2.171533733,474,5.36e-114
"1130","OPN1MW",1.574468319,2.170791681,713,7.76e-41
"1132","AL596087.2",2.212986611,2.165267991,273,3.38e-60
"1133","SOX2-OT",1.778593583,2.16381136,1154,1.5e-178
"1136","ABLIM2",1.662623703,2.156869226,926,1.04e-187
"1137","AC034111.2",2.102893166,2.156278752,415,6.29e-104
"1140","LINC02245",1.689516678,2.153155391,986,1.95e-164
"1145","RNF213-AS1",1.638670745,2.146777309,1489,9.54e-270
"1151","AC097662.1",1.774978306,2.141444849,870,1.47e-137
"1158","CPLX2",1.575566945,2.134863871,1134,8.22e-178
"1163","AC007681.1",3.983006135,2.129881501,234,8.22e-79
"1164","TAF4B",1.92712131,2.129863486,444,1.9e-85
"1168","AC092100.1",1.513450295,2.126454005,3096,0
"1169","LINC01118",2.679726472,2.12589993,215,1.02e-64
"1173","CKMT2",1.83525201,2.123321766,553,2.54e-110
"1178","AC138123.1",3.594931331,2.116863738,208,1.81e-50
"1179","TPK1",1.590533992,2.116843667,1293,4.89e-216
"1180","GFRA1",1.758092733,2.114194073,521,6.33e-85
"1181","CASC19",3.691827777,2.113313461,274,1.09e-93
"1184","L3MBTL4",1.657710404,2.107908272,1102,2.58e-181
"1186","ST6GALNAC2",2.065141473,2.105622107,684,4.37e-171
"1191","AL157829.1",4.079385546,2.100117023,348,5.46e-120
"1194","CPQ",1.557716246,2.099185801,1241,7.33e-197
"1199","ASMTL-AS1",2.938754912,2.09563814,251,2.8e-75
"1200","PLXNC1",2.798321178,2.094789625,305,8.66e-55
"1201","RGPD2",1.720229381,2.094614916,814,9.16e-203
"1205","TRIM62",1.749953593,2.091392315,556,7.64e-104
"1207","CHRNB4",1.466473065,2.090012828,3524,0
"1208","CFAP299",2.535018553,2.08984346,529,1.33e-128
"1209","AL591043.2",2.620930648,2.08973507,272,5.8e-79
"1210","ATP13A5",3.965856512,2.089386381,318,1.29e-113
"1212","AL110292.1",5.665647245,2.087565764,528,8.65e-214
"1214","LINC02018",1.933341979,2.081514229,432,1.56e-79
"1221","LRRC63",1.884794389,2.072458664,449,1.86e-96
"1223","MAP3K15",1.96629705,2.070581771,361,1.73e-81
"1227","RYR1",2.250904297,2.068884705,317,1.1e-88
"1230","AC005009.2",3.37639446,2.064660567,285,3.4e-87
"1235","ADAM19",1.473047818,2.060807031,2852,0
"1236","KCNMB2-AS1",2.239332212,2.060761486,289,5.74e-64
"1240","BMPER",1.582359154,2.057897013,848,9.98e-134
"1243","ZNF385B",1.431810633,2.054109095,6183,0
"1255","ANKMY1",1.80078741,2.033898324,598,6.27e-109
"1256","LINC02664",2.180692196,2.033176762,263,9.78e-69
"1257","AC002377.1",2.644322909,2.03113578,225,1.59e-59
"1259","OSBPL5",1.67518707,2.028784194,601,9.03e-102
"1262","APLF",1.798390262,2.026928692,583,5.78e-109
"1264","CHRNA7",2.036524508,2.02638114,262,7.16e-48
"1265","AL589935.1",2.383811283,2.025868855,241,3.65e-60
"1266","TMEM244",1.436866625,2.025538959,3564,0
"1269","AC007262.2",2.290302482,2.018541528,299,1.64e-76
"1271","KIAA1671",1.537967754,2.017630697,1268,2.78e-197
"1273","HMGA2",1.61362405,2.016364987,561,4.56e-108
"1282","AC023194.3",5.746616981,2.012224687,217,2.86e-81
"1283","MPZL3",2.733951766,2.011473299,298,2.69e-71
"1285","RERGL",3.027336193,2.007331829,204,1.42e-49
"1292","SPAG17",1.959717674,1.998883148,233,4.01e-47
"1299","AC009522.1",2.06209706,1.994327066,370,6.8e-83
"1302","CLYBL",1.434511693,1.989506246,2174,0
"1306","AC002460.2",3.383500904,1.987999009,255,3.7e-75
"1307","AC104806.2",3.251626383,1.98612604,207,3.47e-63
"1311","LINC02294",9.968103147,1.97993642,409,4.18e-167
"1314","CCNJL",1.458558508,1.975515555,1755,1.53e-259
"1315","AC073840.1",2.703799856,1.975022008,222,2.69e-67
"1321","AL137804.1",2.530518874,1.971150854,221,1.21e-73
"1330","CACNA2D4",1.388552688,1.960956708,3775,0
"1332","MAMDC2-AS1",1.859486383,1.960055511,502,3e-97
"1334","AL359915.1",2.001720992,1.958594516,224,2.85e-31
"1339","LEKR1",1.746586589,1.953957166,383,1.85e-80
"1340","SLC22A4",1.919528543,1.953375439,499,9.84e-106
"1341","JADE3",1.695175232,1.952902164,620,2.9e-108
"1353","MYOM1",1.687358552,1.942424887,449,1.45e-93
"1355","CPEB2-DT",3.50255579,1.941340546,327,2.68e-97
"1358","GPD2",1.471817043,1.940293269,1441,1.62e-244
"1360","RHBDL3",1.385283307,1.938936192,2666,0
"1361","CHRNA5",1.437341139,1.938019666,1571,6.36e-215
"1367","OSBPL3",1.951810848,1.931719763,331,1.15e-69
"1369","AL158077.2",2.914043909,1.930948603,287,5.62e-85
"1370","LIN28B",1.416670329,1.930440659,1649,1.54e-258
"1374","DYNC1I1",1.594168951,1.928841473,955,1.43e-134
"1376","COL5A2",2.05192502,1.928172201,320,9.87e-70
"1380","AL355574.1",1.605850379,1.925067391,1205,1.92e-180
"1384","AC012447.1",2.9434486,1.921655834,203,4.19e-62
"1387","RIMBP2",1.396144025,1.917196357,1731,3.58e-277
"1391","FOXO1",1.464512273,1.915830338,1345,1.1e-209
"1393","GPC3",1.824090069,1.913283706,265,2.42e-24
"1394","SLC9A9",1.775636744,1.912849422,526,2.83e-86
"1395","CCDC175",1.580764638,1.912613004,734,2.13e-139
"1398","AC006460.2",1.541147557,1.904352634,965,4.15e-140
"1400","TSNARE1",1.560799547,1.902836064,719,1.79e-126
"1404","FNTB",1.43073524,1.8995426,1297,7.39e-204
"1406","LINC01170",1.863440917,1.8980491,301,3.83e-43
"1413","ADAM11",1.44622765,1.892069542,832,6.85e-118
"1414","AK8",1.700882788,1.890194812,540,2.62e-102
"1415","ZSCAN23",1.582763816,1.888539761,736,5.23e-156
"1423","LINC00571",2.341393875,1.878866149,219,2.41e-48
"1425","CFAP43",1.481642687,1.877823264,1151,7.7e-193
"1427","SUCLG2",1.526238409,1.877602696,846,3.64e-128
"1429","ABCC5-AS1",5.837469051,1.875317756,438,1.91e-177
"1430","ZCWPW2",1.471648519,1.874419513,940,3.71e-146
"1431","LINC02408",2.544869427,1.874392892,345,4.71e-83
"1432","BTG4",9.737415401,1.873506209,337,8.49e-136
"1436","GRIN2B",1.423176821,1.872563668,779,6.94e-97
"1442","INSYN2A",2.018138593,1.869814527,315,9.3e-61
"1444","ADAM32",1.71105562,1.868012911,578,2.46e-113
"1445","AC107032.2",2.035589633,1.867943293,218,2.84e-38
"1447","PTPN13",1.297232953,1.867076143,7610,0
"1448","LYVE1",4.322743331,1.866779185,261,3.75e-96
"1455","SYBU",1.432683361,1.865178054,1011,5.51e-124
"1458","SPRED1",1.523853834,1.859089718,1015,1.17e-130
"1459","PPM1H",1.329654867,1.858544171,3124,0
"1461","LINC00504",2.606908271,1.857155235,289,2.99e-59
"1469","COBL",1.312076503,1.851283376,3337,0
"1472","DDX58",1.695689282,1.848114229,483,1.56e-78
"1475","ADAMTS17",1.489919219,1.8425561,486,1.2e-65
"1479","AL139142.1",4.64453479,1.837082438,272,2.35e-102
"1483","AL160313.1",1.56782162,1.832553392,721,1.47e-131
"1484","KCNE1",1.547294482,1.831977724,741,3.78e-100
"1488","TEC",3.259051337,1.830768226,577,1.22e-157
"1489","EVA1C",2.42741064,1.830739994,250,3.03e-45
"1491","LINC01934",2.940231124,1.829617896,224,3.61e-67
"1492","FAXDC2",1.66021456,1.828596091,498,6.11e-51
"1493","KDM4A-AS1",1.309102793,1.827004566,2652,0
"1495","LINC00649",2.285541939,1.826734824,311,5.7e-83
"1496","KATNAL2",1.436268875,1.823806396,925,9.45e-144
"1497","ITPR1",1.92472816,1.823511703,376,1.72e-58
"1500","LINC01586",1.584159107,1.818877201,508,2.14e-84
"1502","LRRC69",2.47948898,1.818054577,207,3.9e-45
"1506","KCTD8",1.70712635,1.817157067,346,1.15e-51
"1509","IQCH-AS1",1.477537973,1.815111967,904,1.91e-139
"1512","SYT2",2.194428671,1.813803286,339,2.58e-68
"1513","CATSPERG",1.456631686,1.813668683,782,9.22e-97
"1517","AC114316.1",1.599491667,1.812885828,357,2.1e-57
"1526","LINC02246",1.56858835,1.803684549,489,7.24e-70
"1527","EFHC2",1.632023991,1.801737512,345,3.63e-55
"1528","CPEB1",1.404811719,1.800065642,933,8.66e-137
"1530","RARRES1",2.4372779,1.799211912,288,3e-34
"1532","PRR16",1.261087502,1.797141925,4305,0
"1533","CUBN",1.817278315,1.796098889,419,2e-73
"1537","LRP4",1.377040752,1.792582233,1292,6.37e-189
"1539","LINC02666",2.454883723,1.788982073,216,5.85e-61
"1540","MTUS1",1.336088448,1.78443914,1826,1.05e-229
"1541","AP002026.1",1.720887812,1.784251627,439,5.53e-77
"1542","KIF6",1.729440632,1.783357284,432,1.88e-77
"1543","SUSD6",1.294433001,1.782376307,2087,7.42e-272
"1546","PPP4R4",1.241948305,1.781015779,4900,0
"1549","AC084866.1",1.898542212,1.778086507,618,4.69e-113
"1553","AC090572.2",2.458891374,1.776731538,240,8.5e-61
"1558","LRRIQ3",1.701309977,1.771834145,322,1.35e-48
"1560","CENPA",1.869589564,1.76827699,369,2.4e-49
"1562","SLC25A18",2.943323897,1.767776338,309,1.97e-82
"1564","ASMT",2.269923689,1.766616319,208,6.11e-30
"1567","RAPGEF4-AS1",2.856108251,1.762970553,341,2.5e-84
"1570","ROR1-AS1",9.988513811,1.758695971,390,9.21e-155
"1571","AL356295.1",9.632536558,1.758628436,259,5.37e-101
"1572","GPR156",1.831549834,1.757224729,300,1.67e-65
"1574","PPEF1",1.42495422,1.75416327,588,1.79e-88
"1579","KSR1",1.238371122,1.747473642,3206,0
"1581","SH3PXD2A",1.290710965,1.746843433,1516,2.25e-165
"1584","C2orf92",1.551303675,1.742256277,560,5.71e-82
"1588","CCNT2-AS1",1.409049852,1.739739962,672,1.59e-96
"1597","MDN1",1.284436431,1.730726076,1669,2.83e-245
"1598","TMC7",1.448918624,1.729369792,642,2.96e-106
"1604","TMEM9B-AS1",1.453458746,1.72321185,758,2.43e-83
"1607","TBC1D4",1.594686347,1.72140434,587,2.35e-107
"1611","OR6J1",2.586292826,1.716389668,328,1.28e-89
"1620","DCX",1.318297704,1.709148687,657,2.55e-52
"1627","RBM20",2.004754664,1.707319242,207,7.47e-44
"1629","FRMD6",1.460524963,1.706644307,546,7.37e-60
"1630","CASP8",2.791729746,1.705729484,236,2.8e-66
"1631","SERPINB1",1.315108506,1.70505369,947,1.91e-120
"1632","PPARG",2.813341778,1.704856523,204,6e-56
"1634","AC079089.1",1.468112776,1.704213458,428,4.4e-50
"1635","KLHL32",2.644246379,1.704190857,205,1.09e-49
"1636","GRHL1",1.244255554,1.703667666,1474,1.09e-189
"1637","AF279873.3",1.509405109,1.701526339,290,3.76e-33
"1643","GSG1L",1.202963986,1.700318494,2381,9.10080146846205e-311
"1650","Z95118.2",1.564923073,1.691783673,624,5.4e-92
"1652","STARD9",1.231983977,1.689691313,1911,7.3e-250
"1657","DZANK1",1.266247721,1.686473175,1399,1.45e-201
"1658","AL138828.1",1.962001112,1.685987218,219,8.7e-59
"1660","CBFB",1.229343074,1.68579865,1925,2.19e-264
"1661","LRRC9",1.271666422,1.685452389,950,7.02e-146
